A. De Cia
Abbott, B.~P.
Abbott, R.
Abbott, T.
Abbott, T.~D.
Abbott, T.~M.~C.
Abdalla, F.~B.
Abraham, R.
Acernese, F.
Acharyya, A.
Achitouv, I.
Ackley, K.
Adams, C.
Adams, T.
Addesso, P.
Adelle C. F. Coster
Adhikari, R.~X.
Adrianne L. Jenner
Adya, V.~B.
Alabi, A.
Alabi, A.~B.
Albert, A.
Alcorn, L.
Alcorn, Leo
Alcorn, Leo Y.
Ali, K.
Allam, S.
Allen, R.~J.
Allen, Rebecca
Allen, Rebecca J.
Allison, J. R.
Allison, J.~R.
Alviano, M.
Amon, A.
Amrhein, L.~E.
Anderson, G. E.
Anderson, G.~E.
Andre, M.
Andreoni, I.
Anghinolfi, M.
Anisimov, M.~A.
Annis, J.
Anton, G.
Antonio Cricenti
Antoniou, G.
Apfel, Miranda
Arcavi, I.
Archibald, R.~F.
Ardid, M.
Armitage, P.~J.
Asgari, M.
Ashley, M. C. B.
Ashley, M.~C.~B.
Asnavandi, Majid
Asorey, J.
Aubert, J.-J.
Avgitas, T.
Avila, S.
Azofra, Luis Miguel
B. Q. Vo
Baade, D.
Baarslag, T.
Bacon, D.
Bai, X.-D.
Bailes, M.
Bainbridge, M.
Bainbridge, M.~B.
Bannister, K.
Barat, D.
Baret, B.
Barnes, L.~A.
Barr, E.~D.
Barret, D.
Barrios-Marti, J.
Barway, S.
Baryannis, G.
Basa, S.
Bassa, C.~G.
Bate, M.~R.
Bateman, T.
Batsakis, S.
Beardsley, A.
Becker, G.
Becker, G.~D.
Bekiaris, G.
Belhorma, B.
Bell, Eric F.
Bellstedt, S.
Bernard, S.~R.
Bertin, V.
Bessell, M.~S.
Beutler, F.
Bhandari, S.
Bhat, N.~D.~R.
Biagi, S.
Bian, F.
Bianchini, F.
Bildsten, L.
Bilicki, M.
Blagorodnova, N.
Blake, C.
Bland, P.~A.
Bland-Hawthorn, J.
Boer, M.
Bojaddaini, I.~E.
Bolejko, K.
Bolton, J.~S.
Bonnerot, C.
Booler, T.
Bormuth, R.
Bosman, S.~E.~I.
Bourret, S.
Bouwhuis, M.~C.
Bower, R.~G.
Brandeker, A.
Branzac s, H.
Bremer, J.
Brodie, J.
Brodie, J.~P.
Bromberg, O.
Brooks, D.
Brough, S.
Broussard, Adam
Brown, I.~S.
Brown, M.~J.~I.
Brown, R.
Brown, T.
Bruijn, R.
Brunner, J.
Bryant, J.
Buchner, S.
Buckley, D.~A.~H.
Buckley-Geer, E.
Bue, B.
Bunton, J.~D.
Burgay, M.
Burke, D.~L.
Burke-Spolaor, S.
Busto, J.
Butterley, T.
Byrne, Z.~J.
Calcino, J.
Caleb, M.
Cameron, A.~D.
Camilo, F.
Campbell-Wilson, D.
Cantiello, M.
Cao, Y.
Capaccioli, M.
Capone, A.
Caramete, L.
Carlin, J.~L.
Carnero Rosell, A.
