Surname,Name
Seigar,M.
Harnois-Deraps,J.
Pimbblet,K.
Brown,I.~S.
Brown,T.
Brown,M.~J.~I.
Brown,R.
Baryannis,G.
Alviano,M.
Albert,A.
Lopez,E.
Catinella,B.
Gay,P.
Obreschkow,D.
Eberl,T.
Kennedy,G.~M.
Riemer-Sorensen,S.
Morales,M.~F.
Forbes,D.~A.
Blake,C.
Wiersema,K.
Janowiecki,S.
Wang,L.
Wang,X.
Wang,J.~B.
Wang,N.
Wang,T.
Wang,Yong
Pv avv alac s,G.~E.
Dumont,V.
Lynch,C.
R. Quimby, 
Dent,W.~R.~F.
Liu,X.-J.
Rao,Anirudh
Wolf,C.
Plazas,A.~A.
Sollerman,J.
Shao,L.
Walker,M.
Walker,A.~R.
Wisnioski,E.
Miralda-Escude,J.
Inserra,C.
Organokov,M.
Tayalati,Y.
Graham,M.~L.
Graham,A.~W.
Rahmani,R.
Thierry,P.
Filippenko,A.~V.
Toomey,L.
Zu~niga,J.
Kannam,Sridhar Kumar
Spavone,M.
Pizzella,A.
Martin,D.~C.
Duv ska,M.
Piattelli,P.
D. A. Perley, 
Honscheid,K.
Fender,R.
Hai L. Vu, 
Xiong,J.
Suntzeff,N.~B.
Tran,Kim-Vy H.
Seghouani,N.
Keith,M.~J.
Tarle,G.
Andre,M.
Price,D.~J.
Alcorn,Leo Y.
Bell,Eric F.
Marino,S.
Vale,C.~J.
Gao,Yi
Chiarusi,T.
King,A.
Soares-Santos,M.
Tepper-Garcia,T.
de Zeeuw,P.~T.
Cooke,J.
Duchene,G.
Cortese,L.
Ryan-Weber,E.
Terai,T.
Sullivan,M.
Kerr,M.
McDermid,R.~M.
Dini,D.
Giordano,V.
Vlasiuk,M.
Kasliwal,M.
Vallage,B.
Anghinolfi,M.
Kawinwanichakij,Lalitwadee
Griffith,Martin
Foxley-Marrable,M.
Bhandari,S.
Gronnow,A.
Croom,S.~M.
Wolz,L.
Corongiu,A.
Onken,C.~A.
Bate,M.~R.
Celli,S.
Hosseinzadeh,G.
Pratley,L.
Jaroenjittichai,P.
Sadler,E.~M.
Bremer,J.
Russell,C.~J.
Lagos,C.
Bruijn,R.
Le F`evre,Olivier
Sommer,N.~E.
Tothill,N.~F.~H.
McClure-Griffiths,N.~M.
Guerou,A.
Pallot,D.
Levin,L.
Levin,Y.
Laher,R.~R.
Garcia-Bellido,J.
Littlefair,S.~P.
Calcino,J.
Font-Ribera,Andreu
Zovaro,H.
Navas,S.
Wozniak,P.
Frascoli,Federico
Lipunov,V.
Glazebrook,K.
Bernard,S.~R.
Justin S. Leontini, 
Abraham,R.
Allen,Rebecca
Sanchez-Losa,A.
Kalekin,O.
Tomczak,Adam
Maia,M.~A.~G.
Parthasarathy,A.
Kreykenbohm,I.
Bekiaris,G.
Anisimov,M.~A.
Acernese,F.
Ng,C.
Coriat,M.
Krishnan,V.~V.
Grogin,Norman A.
Lidman,C.
Rumsey,C.
Schroetter,I.
Diehl,H.~T.
Ashley,M.~C.~B.
Menanteau,F.
Hutchison,M.
van Straten,W.
Macpherson,D.
Liang,E.
Zhou,J.
Doherty,Cara M
Hunstead,R.~W.
Tescari,E.
Adya,V.~B.
Kacprzak,Glenn G.
Stappers,B.
Kannawadi,A.
Gruen,D.
Amrhein,L.~E.
Couch,W.
Wilms,J.
Dabbech,A.
Jameson,A.
Katsiani,A.
Stolarczyk,T.
Swanson,M.~E.~C.
Pan,Richard
Marsh,T.~R.
Bai,X.-D.
Yee,H.~K.~C.
H. P. Luong, 
Reardon,D.~J.
Samtleben,D.~F.~E.
Muzahid,S.
Barnes,L.~A.
Katz,U.
Katz,S.~R.
Castander,F.~J.
Branzac s,H.
Tarikul Islam, 
Guo,Yicheng
Pointon,S.~K.
Schneider,P.
Falcon-Barroso,J.
Casassus,S.
Kleiner,D.
Bland-Hawthorn,J.
Gonzalez-Gaitan,S.
Lorente,N.
Brough,S.
Sheridan,John
Collett,T.~E.
Bromberg,O.
Heijboer,A.~J.
Pracy,M.
Tao,C.
Magoulas,C.
Janz,J.
Apfel,Miranda
McClelland,D.~E.
Gendre,B.
Madau,P.
Kochanek,C.~S.
Cupak,M.
Panda,Manoj
De Bonis,G.
Hancock,P.~J.
Bower,R.~G.
Garcia,L.~A.
Schipani,P.
Hourigan,Kerry
Spiewak,R.
Crisp,H.
Marcelin,M.
Jelliffe,B.
Hoekstra,H.
Hobbs,G.
Crighton,N.~H.~M.
da Cunha,E.
Krolewski,Alex
Suchyta,E.
Ofek,E.~O.
Hales,A.
Wiseman,P.
Mesinger,A.
McLaughlin,M.~A.
Rodriguez-Herranz,I.
Jones,D.~H.
Mulkerin,B.~C.
Hello,Y.
Newman,A.~B.
Venemans,B.
Zafari,F.
Lef`evre,D.
Ogando,R.~L.~C.
Niino,Y.
Combes,F.
Hollowood,D.
Laibe,G.
Konidaris,N.
Barret,D.
van Uitert,E.
Smith,M.
Smith,R.~C.
Goulding,A.~D.
Sansom,E.~K.
Tricco,T.~S.
martizzi,davide
Irisarri,N.
Shang,Z.
Parkinson,D.
van Haren,H.
Erben,T.
Hu,L.
Hu,Y.
Hu,H.
Wex,N.
Komiyama,Y.
Koliopanos,F.
Coniglione,R.
More,A.
Huang,F.
Penny,S.~J.
Caupin,F.
Baarslag,T.
Mas-Ribas,L.
Koribalski,B.~S.
Sanguineti,M.
Beutler,F.
Bildsten,L.
Popa,V.
Baret,B.
Lunnan,R.
Armitage,P.~J.
Carswell,R.~F.
Antonio Cricenti, 
Sarzi,M.
Perrodin,D.
Burke,D.~L.
Bilicki,M.
Lawrence,J.
Antoniou,G.
Hardy,L.~K.
Pritchard,T.
Ragusa,E.
Adelle C. F. Coster, 
Bian,F.
Morris,D.
Moriya,T.~J.
Michael,T.
Khayati,N.~E.
Avila,S.
Detoeuf,A.
Ciambur,B.~C.
Kewley,Lisa J.
Gromadzki,M.
Hennawi,J.~F.
Nielsen,N.~M.
Prajs,S.
Shappee,B.
Davies,R.~L.
Choi,A.
et al., 
Lorimer,D.~R.
Sellis,T.
van Dokkum,P.
Martizzi,Davide
Andreoni,I.
Nichol,R.~C.
Schlegel,David
Schaye,J.
Carnero Rosell,A.
Roodman,A.
Tonnis,C.
Morrison,C.~B.
Morrison,G.
Wayth,R.
Owers,M.~S.
Oslowski,S.
Monson,A.~J.
Temby,D.
Riccobene,G.
Karuppusamy,R.
Anderson,G.~E.
Kaplan,D.~L.
Davis,T.~M.
Davis,C.
Davis,B.
Moussa,A.
Wong,Z.~C.
Wong,O.~I.
Camilo,F.
Kaspi,V.~M.
Ali,K.
Hernandez-Rey,J.~J.
Spitler,L.
Malan,Katherine M.
Mutch,S.~J.
Keane,E.~F.
Johnston,S.
Galloway,D.~K.
Nakar,E.
Flynn,C.
Kreter,M.
Spurio,M.
Amon,A.
Lima,M.
Elahi,P.~J.
Tominaga,N.
Devillepoix,H.~A.~R.
Salvadori,I.
